Index of Gen, I#1: Average AdditionProb of Gen, Average SubstractionProb of Gen, Average SubstitutionProb of Gen, I#2: Average AdditionProb of Gen, Average SubstractionProb of Gen, Average SubstitutionProb of Gen, 
93,0.324787,0.522626,0.433244,0.438856,0.848675,0.398397,
94,0.319024,0.52243,0.434434,0.441144,0.851161,0.402352,
95,0.321052,0.51761,0.433642,0.437479,0.854349,0.416967,
96,0.319103,0.518885,0.43412,0.44586,0.852814,0.416076,
97,0.315314,0.51616,0.434037,0.449556,0.858129,0.421973,
98,0.315015,0.511167,0.435184,0.451995,0.859889,0.423838,
99,0.315227,0.516692,0.43385,0.45116,0.86637,0.424022,
100,0.315166,0.513036,0.433473,0.450079,0.869858,0.424417,
101,0.315706,0.510295,0.433288,0.449411,0.869975,0.427046,
102,0.314925,0.502693,0.43208,0.447895,0.870899,0.427946,
103,0.317129,0.501686,0.42907,0.448055,0.869845,0.425718,
104,0.318929,0.499878,0.42903,0.445163,0.86801,0.430101,
105,0.314941,0.493096,0.422804,0.44498,0.867799,0.429586,
106,0.31395,0.493672,0.421234,0.446824,0.856581,0.42281,
107,0.314196,0.492593,0.424888,0.447862,0.855631,0.423223,
108,0.315109,0.492982,0.426059,0.448706,0.861676,0.418387,
109,0.315687,0.490683,0.426359,0.449265,0.862149,0.415944,
110,0.318657,0.489942,0.426227,0.448285,0.859361,0.42148,
111,0.317066,0.488444,0.428467,0.448669,0.858775,0.424307,
112,0.312655,0.489153,0.428116,0.449167,0.859406,0.427167,
113,0.312312,0.488526,0.419508,0.44963,0.856235,0.429448,
114,0.313595,0.483081,0.41258,0.448782,0.861566,0.429854,
115,0.317985,0.479544,0.422453,0.447765,0.857005,0.434429,
116,0.317775,0.478493,0.414061,0.445995,0.857365,0.433195,
117,0.316439,0.477071,0.42568,0.445016,0.863298,0.430981,
118,0.316397,0.480336,0.457033,0.446495,0.861887,0.432563,
119,0.318396,0.480754,0.458831,0.447908,0.871252,0.423112,
120,0.317239,0.481964,0.459978,0.448293,0.87196,0.421917,
121,0.316183,0.484878,0.465216,0.447977,0.876097,0.421818,
122,0.317512,0.487817,0.465619,0.44945,0.875558,0.425246,
123,0.316228,0.49251,0.461866,0.448217,0.871024,0.430546,
124,0.314182,0.485895,0.456715,0.447829,0.865103,0.430528,
125,0.318949,0.478818,0.471775,0.447674,0.861785,0.435783,
126,0.31885,0.478151,0.474319,0.447944,0.867432,0.435471,
127,0.317698,0.47526,0.47328,0.44925,0.86745,0.43441,
128,0.318198,0.474685,0.471096,0.450514,0.870038,0.434115,
129,0.318163,0.470549,0.467422,0.450971,0.870205,0.438145,
130,0.315455,0.479264,0.475687,0.448947,0.870483,0.438845,
131,0.313009,0.480476,0.470115,0.449462,0.871311,0.438667,
132,0.314144,0.48026,0.470873,0.448732,0.869273,0.441448,
133,0.314649,0.480561,0.46856,0.450092,0.869984,0.441757,
134,0.314658,0.480534,0.466497,0.456064,0.870262,0.443474,
135,0.314237,0.478353,0.467331,0.462582,0.868222,0.440246,
136,0.321738,0.473388,0.472106,0.457552,0.870827,0.44728,
137,0.324641,0.469888,0.475145,0.471382,0.872692,0.448786,
138,0.324273,0.470874,0.471085,0.468226,0.873747,0.445259,
139,0.323517,0.470992,0.472587,0.465899,0.874675,0.446711,
140,0.322428,0.470528,0.47107,0.471034,0.871884,0.446777,
141,0.317485,0.469088,0.471509,0.469649,0.87269,0.448356,
142,0.323942,0.470075,0.46826,0.473983,0.870229,0.449505,
143,0.323286,0.47091,0.466118,0.474387,0.866842,0.450668,
144,0.32579,0.472286,0.466135,0.475,0.865505,0.451846,
145,0.326773,0.471271,0.46538,0.475527,0.865713,0.451415,
146,0.326431,0.468212,0.474136,0.475842,0.86194,0.452111,
147,0.329133,0.471185,0.465898,0.475099,0.86774,0.453138,
148,0.326796,0.470952,0.467677,0.474259,0.868432,0.449306,
149,0.329127,0.47278,0.456887,0.472954,0.869225,0.446788,
150,0.328587,0.471841,0.455718,0.46873,0.870313,0.445423,
151,0.328008,0.473487,0.45564,0.465976,0.869521,0.449868,
152,0.326735,0.472473,0.454703,0.465239,0.866359,0.447727,
153,0.326137,0.472372,0.450857,0.466298,0.860206,0.450426,
154,0.326383,0.475952,0.455886,0.461677,0.865271,0.446595,
155,0.325599,0.472163,0.456731,0.456467,0.867634,0.445327,
156,0.32763,0.473786,0.457514,0.453715,0.868006,0.445244,
157,0.32812,0.472486,0.45853,0.451447,0.866682,0.44578,
158,0.330228,0.472679,0.457362,0.446926,0.863341,0.445828,
159,0.332274,0.471401,0.45792,0.446565,0.863108,0.445941,
160,0.331875,0.471504,0.461868,0.447228,0.860462,0.44524,
161,0.332422,0.473597,0.456234,0.448957,0.862895,0.44744,
162,0.332115,0.475688,0.455938,0.450728,0.861789,0.446037,
163,0.331592,0.471118,0.456699,0.448877,0.856986,0.449731,
164,0.332553,0.468748,0.453823,0.452355,0.851562,0.450164,
165,0.335303,0.464109,0.457825,0.456882,0.850592,0.449101,
