Index of Gen, I#1: Average AdditionProb of Gen, Average SubstractionProb of Gen, Average SubstitutionProb of Gen, I#2: Average AdditionProb of Gen, Average SubstractionProb of Gen, Average SubstitutionProb of Gen, 
1394,0.374788,0.285878,0.429646,0.438961,0.553082,0.5808,
1395,0.376781,0.286931,0.431116,0.437965,0.555823,0.585771,
1396,0.376953,0.286209,0.433344,0.43843,0.550238,0.595011,
1397,0.379199,0.288267,0.431683,0.438136,0.54764,0.595119,
1398,0.386533,0.287787,0.434727,0.437588,0.545097,0.597691,
1399,0.396793,0.28795,0.433933,0.439818,0.549087,0.598257,
1400,0.397831,0.287586,0.434359,0.442141,0.551863,0.595704,
1401,0.397329,0.288953,0.434499,0.444236,0.54863,0.592692,
1402,0.394308,0.288342,0.437888,0.443419,0.546717,0.596443,
1403,0.395365,0.290596,0.434052,0.444888,0.54382,0.593865,
1404,0.398488,0.288883,0.43341,0.444344,0.541599,0.591371,
1405,0.404768,0.287958,0.434434,0.444027,0.538912,0.585293,
1406,0.403836,0.290999,0.434613,0.436306,0.543437,0.600327,
1407,0.404936,0.287211,0.434306,0.436222,0.543976,0.604071,
1408,0.40236,0.280514,0.435519,0.434009,0.541953,0.605574,
1409,0.400562,0.287744,0.434593,0.435854,0.534276,0.593252,
1410,0.409752,0.28804,0.431202,0.437211,0.531999,0.59184,
1411,0.40927,0.2863,0.431879,0.44607,0.524868,0.585317,
1412,0.412007,0.287425,0.428416,0.453154,0.521039,0.580775,
1413,0.417971,0.285586,0.422631,0.457208,0.515435,0.572804,
1414,0.41791,0.284577,0.420317,0.452809,0.520048,0.577522,
1415,0.421189,0.28328,0.422506,0.451244,0.517041,0.578322,
1416,0.420067,0.285254,0.418387,0.445424,0.523982,0.58797,
1417,0.420593,0.287058,0.419142,0.444765,0.525994,0.592695,
1418,0.420167,0.289714,0.426578,0.448518,0.519719,0.584834,
1419,0.422989,0.292155,0.420974,0.452181,0.517207,0.575243,
1420,0.425092,0.297791,0.423506,0.453298,0.513753,0.572463,
1421,0.42056,0.292192,0.425599,0.455398,0.50956,0.574823,
1422,0.421027,0.29057,0.420575,0.454987,0.506395,0.575981,
1423,0.422022,0.287869,0.421401,0.455837,0.504373,0.577643,
1424,0.420437,0.282178,0.428282,0.454885,0.50619,0.576059,
1425,0.419493,0.28147,0.42542,0.451644,0.506026,0.575206,
1426,0.421098,0.282754,0.416685,0.445869,0.507322,0.571029,
1427,0.417502,0.286626,0.417051,0.444603,0.511324,0.56879,
1428,0.41697,0.283719,0.414182,0.446127,0.509817,0.571226,
1429,0.419425,0.283927,0.408946,0.446281,0.512645,0.573986,
1430,0.424782,0.283322,0.39994,0.44404,0.51273,0.570198,
1431,0.426859,0.289147,0.396909,0.442917,0.514333,0.568575,
1432,0.4298,0.292106,0.395788,0.445257,0.521572,0.565531,
1433,0.429845,0.29829,0.397087,0.443331,0.516735,0.569474,
1434,0.430246,0.299705,0.393224,0.442664,0.520434,0.570261,
1435,0.424877,0.304493,0.395631,0.442561,0.513847,0.57123,
1436,0.427584,0.293159,0.395359,0.443606,0.505911,0.569686,
1437,0.428311,0.289083,0.394834,0.441275,0.49997,0.569074,
1438,0.428978,0.284187,0.395964,0.435381,0.500427,0.568929,
1439,0.428114,0.283606,0.395837,0.436549,0.501059,0.569318,
1440,0.427271,0.284037,0.396665,0.436619,0.504963,0.568687,
1441,0.427408,0.283644,0.395597,0.436169,0.505239,0.568851,
1442,0.427823,0.281804,0.396288,0.437239,0.498283,0.568494,
1443,0.430802,0.28171,0.396792,0.440251,0.505448,0.568442,
1444,0.430193,0.280577,0.396929,0.439711,0.500716,0.569702,
1445,0.427412,0.281756,0.394549,0.440055,0.492178,0.57302,
1446,0.42374,0.283179,0.391301,0.443157,0.485208,0.569914,
1447,0.419853,0.281755,0.392075,0.440063,0.48418,0.568919,
1448,0.418532,0.277146,0.39065,0.437576,0.491541,0.569015,
1449,0.419872,0.275104,0.391726,0.43637,0.50071,0.569828,
1450,0.431799,0.277115,0.390977,0.437233,0.504844,0.573206,
1451,0.432146,0.2789,0.391413,0.435323,0.503174,0.571555,
1452,0.435639,0.279865,0.388126,0.436832,0.50552,0.569043,
1453,0.435879,0.280128,0.388631,0.438419,0.505539,0.570964,
1454,0.437405,0.284641,0.382363,0.439592,0.503409,0.570966,
1455,0.433993,0.285506,0.382963,0.441522,0.503876,0.572838,
1456,0.438877,0.287461,0.383703,0.440002,0.5015,0.575154,
1457,0.439915,0.289703,0.381411,0.43957,0.504028,0.571921,
1458,0.441074,0.288819,0.377207,0.443619,0.498618,0.5723,
1459,0.441067,0.286647,0.37969,0.445457,0.499196,0.575088,
1460,0.438086,0.286015,0.384113,0.449567,0.499103,0.572149,
1461,0.440567,0.284839,0.385716,0.450783,0.501282,0.57354,
1462,0.439332,0.285725,0.38565,0.449988,0.501266,0.571373,
1463,0.445575,0.287993,0.385455,0.448115,0.504033,0.56798,
1464,0.445399,0.292497,0.385727,0.444293,0.512854,0.569686,
1465,0.441558,0.293687,0.385672,0.440591,0.505304,0.568867,
1466,0.44162,0.29373,0.389347,0.438991,0.507754,0.5638,
1467,0.446763,0.296147,0.39037,0.434532,0.512941,0.562657,
1468,0.43747,0.293101,0.393096,0.45009,0.509058,0.562776,
1469,0.439345,0.292362,0.3986,0.440836,0.517299,0.563036,
1470,0.44216,0.292363,0.400332,0.435333,0.510689,0.563567,
1471,0.441907,0.293308,0.401038,0.438032,0.509557,0.563842,
1472,0.445943,0.293504,0.400649,0.438015,0.50495,0.562432,
1473,0.447645,0.294925,0.398203,0.43457,0.502546,0.56106,
1474,0.448806,0.297744,0.397669,0.435515,0.502937,0.562307,
1475,0.450121,0.299069,0.396379,0.434499,0.50183,0.561202,
1476,0.4506,0.297635,0.397647,0.445933,0.503907,0.561823,
1477,0.450828,0.309064,0.398992,0.451138,0.504635,0.562525,
1478,0.450397,0.304267,0.392346,0.452479,0.506288,0.561538,
1479,0.451094,0.311258,0.388807,0.448654,0.507629,0.559749,
1480,0.450313,0.310266,0.389316,0.445099,0.505008,0.559428,
1481,0.448863,0.309946,0.387411,0.438541,0.505524,0.5589,
1482,0.449582,0.310374,0.392538,0.443139,0.505852,0.557815,
1483,0.449973,0.310358,0.398578,0.447561,0.502845,0.556092,
1484,0.449975,0.313087,0.392779,0.444268,0.505393,0.557416,
1485,0.452201,0.319304,0.38223,0.455086,0.509046,0.554212,
1486,0.454018,0.32665,0.38084,0.459563,0.503548,0.554305,
1487,0.453647,0.32634,0.377888,0.462428,0.504683,0.559268,
1488,0.454477,0.326621,0.381418,0.451698,0.496627,0.547467,
1489,0.457252,0.329995,0.38207,0.454426,0.49932,0.544931,
1490,0.454276,0.328365,0.383285,0.453117,0.497953,0.544099,
1491,0.454786,0.332607,0.382838,0.452732,0.496646,0.544191,
1492,0.454484,0.332493,0.383527,0.453725,0.496135,0.543996,
1493,0.453377,0.332519,0.384045,0.454756,0.486323,0.542934,
1494,0.451251,0.334647,0.380971,0.457611,0.486503,0.543124,
1495,0.447171,0.334722,0.378771,0.453528,0.480553,0.542616,
1496,0.446083,0.335116,0.377609,0.456207,0.484124,0.542638,
1497,0.442617,0.338763,0.375867,0.453919,0.48892,0.547342,
1498,0.444235,0.344806,0.373494,0.454078,0.486746,0.548672,
1499,0.446134,0.348805,0.373957,0.454668,0.486734,0.545959,
1500,0.445926,0.348354,0.37422,0.459657,0.483755,0.543418,
1501,0.445765,0.344767,0.373686,0.459085,0.481998,0.541397,
1502,0.44643,0.337356,0.373608,0.458461,0.47897,0.545877,
1503,0.446615,0.336317,0.373164,0.455898,0.479016,0.548272,
1504,0.446473,0.330275,0.373398,0.456359,0.481993,0.54465,
1505,0.4466,0.320514,0.373275,0.459504,0.480126,0.541071,
1506,0.452061,0.310161,0.373333,0.460303,0.480403,0.54362,
1507,0.455807,0.305759,0.366208,0.455506,0.479853,0.545705,
1508,0.458946,0.301275,0.359359,0.459204,0.477538,0.549043,
1509,0.460658,0.299391,0.358906,0.460717,0.467139,0.553342,
1510,0.459953,0.29903,0.358514,0.468221,0.480542,0.543296,
1511,0.460085,0.298155,0.357885,0.467861,0.477617,0.539849,
1512,0.45626,0.298893,0.358395,0.467923,0.473052,0.543734,
1513,0.456166,0.301778,0.357561,0.47184,0.475973,0.541086,
1514,0.45563,0.298612,0.35785,0.473414,0.472333,0.544963,
1515,0.455759,0.28534,0.359496,0.476267,0.47777,0.536201,
1516,0.455814,0.285164,0.358363,0.478427,0.474311,0.535496,
1517,0.455068,0.285586,0.358539,0.480147,0.478178,0.528537,
1518,0.457092,0.285303,0.357172,0.48178,0.479703,0.527209,
1519,0.455279,0.285495,0.358193,0.483845,0.478423,0.525863,
1520,0.457731,0.285687,0.354554,0.486491,0.475229,0.522403,
1521,0.457301,0.286251,0.351947,0.4863,0.473895,0.522913,
1522,0.454338,0.285212,0.35518,0.484468,0.468389,0.524251,
1523,0.452001,0.283043,0.357315,0.483354,0.465515,0.523293,
1524,0.451106,0.281937,0.358463,0.485424,0.471624,0.523678,
1525,0.450917,0.284587,0.357426,0.4846,0.476559,0.523398,
1526,0.450082,0.282352,0.358464,0.486365,0.468227,0.524054,
1527,0.452159,0.27913,0.358702,0.487043,0.460687,0.524903,
1528,0.456937,0.273964,0.358081,0.482598,0.45358,0.525377,
1529,0.45523,0.272973,0.356636,0.481435,0.451965,0.524738,
1530,0.45356,0.268065,0.357898,0.478428,0.451512,0.530268,
1531,0.452556,0.270382,0.356371,0.479984,0.453899,0.532128,
1532,0.453338,0.268205,0.352142,0.479622,0.4575,0.527876,
1533,0.453917,0.260104,0.356812,0.477024,0.460418,0.527959,
1534,0.454092,0.25992,0.355322,0.475002,0.458446,0.528867,
1535,0.453726,0.260491,0.356269,0.472903,0.452957,0.526361,
1536,0.454342,0.257628,0.357721,0.475014,0.45779,0.527355,
1537,0.457931,0.256818,0.358034,0.472912,0.458611,0.527518,
1538,0.459942,0.258057,0.359009,0.468646,0.456496,0.524385,
1539,0.455882,0.257353,0.358564,0.470977,0.455966,0.523522,
1540,0.449555,0.256007,0.358718,0.473085,0.453315,0.523809,
1541,0.450918,0.255836,0.360137,0.473988,0.449696,0.52309,
1542,0.460613,0.256571,0.357499,0.482637,0.448722,0.523768,
1543,0.461165,0.258128,0.357964,0.485574,0.446742,0.521768,
1544,0.461953,0.251673,0.358247,0.490458,0.447336,0.520603,
1545,0.460903,0.243397,0.356413,0.495461,0.44488,0.516049,
1546,0.460728,0.241895,0.354924,0.503082,0.445494,0.517,
1547,0.457955,0.243089,0.353514,0.50091,0.445429,0.516614,
1548,0.461394,0.238611,0.357515,0.505516,0.438553,0.521154,
1549,0.460569,0.236654,0.357257,0.505884,0.437684,0.520054,
1550,0.4608,0.236506,0.358243,0.505426,0.435139,0.517713,
1551,0.460582,0.237907,0.354508,0.507965,0.432347,0.51811,
1552,0.460587,0.237658,0.35355,0.506596,0.430262,0.520748,
1553,0.461403,0.237654,0.353132,0.504799,0.4329,0.519178,
1554,0.470087,0.237916,0.356509,0.505466,0.430172,0.520463,
1555,0.474081,0.246687,0.349727,0.506779,0.425665,0.521027,
1556,0.475738,0.246286,0.347423,0.503425,0.424167,0.519433,
1557,0.475462,0.247065,0.352771,0.502332,0.425126,0.521261,
1558,0.476226,0.243651,0.355299,0.497335,0.423767,0.52252,
1559,0.475859,0.248949,0.357065,0.490779,0.41173,0.517124,
1560,0.475701,0.249906,0.353492,0.485539,0.409674,0.518915,
1561,0.477345,0.249839,0.350148,0.487532,0.402028,0.529387,
1562,0.475953,0.256345,0.348279,0.489182,0.404278,0.532402,
1563,0.469638,0.27163,0.347756,0.489638,0.402145,0.530865,
1564,0.468023,0.271518,0.347454,0.491877,0.402443,0.530924,
1565,0.457113,0.276129,0.347784,0.493465,0.403955,0.531214,
1566,0.45649,0.279337,0.347976,0.503054,0.407793,0.524255,
1567,0.457129,0.274996,0.34749,0.503256,0.409362,0.524518,
1568,0.459029,0.275966,0.348316,0.498538,0.408951,0.525012,
1569,0.460777,0.279646,0.348413,0.491541,0.409052,0.529835,
1570,0.454337,0.279932,0.348341,0.4946,0.408671,0.526992,
1571,0.45909,0.279156,0.348314,0.490317,0.409509,0.531513,
1572,0.443961,0.280928,0.348056,0.48641,0.408375,0.533749,
1573,0.444472,0.273244,0.347419,0.484713,0.407156,0.535037,
1574,0.449426,0.273839,0.347942,0.485618,0.406996,0.53378,
1575,0.444953,0.272411,0.347357,0.483612,0.406047,0.535432,
1576,0.451557,0.274531,0.347015,0.488493,0.40375,0.534869,
1577,0.44723,0.266926,0.347099,0.486605,0.405176,0.532289,
1578,0.458644,0.269133,0.346409,0.491389,0.408325,0.533291,
1579,0.464345,0.272442,0.34648,0.490648,0.410971,0.534055,
1580,0.467286,0.273874,0.347797,0.489644,0.412773,0.532651,
1581,0.458265,0.268923,0.346912,0.493666,0.412907,0.529957,
1582,0.457055,0.268147,0.34324,0.494531,0.415601,0.532718,
1583,0.45895,0.269203,0.342845,0.494289,0.416969,0.532525,
1584,0.469968,0.273022,0.344372,0.494712,0.418482,0.530912,
1585,0.477857,0.280054,0.338636,0.495231,0.424502,0.534088,
1586,0.477986,0.276935,0.33088,0.496294,0.414053,0.529327,
1587,0.478438,0.280836,0.331333,0.494264,0.417142,0.537872,
1588,0.477708,0.281189,0.335835,0.494356,0.417043,0.533097,
1589,0.478282,0.280426,0.332048,0.493655,0.416666,0.531304,
1590,0.478065,0.280884,0.331702,0.4939,0.414764,0.528536,
1591,0.477628,0.281271,0.331491,0.497037,0.418298,0.51298,
1592,0.481135,0.27674,0.330823,0.496649,0.418449,0.510684,
1593,0.478655,0.274133,0.33172,0.497039,0.418539,0.511531,
1594,0.4775,0.270848,0.331006,0.496923,0.418336,0.517759,
1595,0.478195,0.276371,0.330104,0.495981,0.422165,0.515467,
1596,0.477179,0.275443,0.331655,0.494046,0.425097,0.513259,
1597,0.477458,0.274258,0.330764,0.495405,0.425187,0.513266,
1598,0.476891,0.277888,0.331112,0.492904,0.420877,0.511266,
1599,0.477036,0.273548,0.331449,0.49557,0.421929,0.513663,
1600,0.482558,0.276881,0.331668,0.495871,0.417427,0.508089,
1601,0.484956,0.27163,0.33084,0.497258,0.418512,0.504429,
1602,0.485712,0.279166,0.337749,0.499032,0.420993,0.505922,
1603,0.489733,0.279002,0.333289,0.501808,0.418516,0.491693,
1604,0.487559,0.286423,0.33664,0.504215,0.414022,0.488586,
1605,0.48598,0.28512,0.34308,0.502939,0.414253,0.483489,
1606,0.492484,0.282084,0.334871,0.500727,0.414096,0.484542,
1607,0.495269,0.28008,0.330625,0.49879,0.414406,0.495229,
1608,0.495034,0.281025,0.334257,0.498596,0.414591,0.496877,
1609,0.494013,0.282242,0.339291,0.499192,0.417966,0.496433,
1610,0.500835,0.281078,0.341179,0.49708,0.418917,0.49488,
1611,0.497061,0.283302,0.339845,0.495973,0.417804,0.4947,
1612,0.502208,0.281418,0.33741,0.498114,0.417257,0.494808,
1613,0.5026,0.283601,0.336257,0.49753,0.41668,0.494716,
1614,0.495443,0.285434,0.336047,0.498663,0.417555,0.494117,
1615,0.507224,0.28641,0.33323,0.498079,0.417626,0.496374,
1616,0.505582,0.285314,0.336692,0.496638,0.414343,0.499444,
1617,0.508165,0.284205,0.328863,0.497393,0.413218,0.498996,
1618,0.507182,0.287886,0.336997,0.497081,0.413599,0.498122,
1619,0.507448,0.284515,0.336652,0.496545,0.417596,0.498327,
1620,0.507705,0.284636,0.348534,0.497079,0.415418,0.498415,
1621,0.507649,0.284091,0.354698,0.496578,0.409223,0.504549,
1622,0.507688,0.284515,0.353315,0.496927,0.408631,0.504204,
1623,0.507383,0.28612,0.352754,0.496061,0.408901,0.504292,
1624,0.507636,0.285297,0.353224,0.49638,0.407888,0.504323,
1625,0.50779,0.285339,0.354066,0.494242,0.408044,0.500861,
1626,0.50854,0.283927,0.356458,0.488698,0.410176,0.498009,
1627,0.507779,0.285362,0.35688,0.490718,0.409598,0.49931,
1628,0.507302,0.283254,0.353023,0.487751,0.409989,0.495943,
1629,0.505891,0.283652,0.357132,0.492883,0.408901,0.50571,
1630,0.511451,0.279972,0.351354,0.497158,0.415655,0.500433,
1631,0.507981,0.283355,0.353891,0.496825,0.42002,0.495262,
1632,0.507547,0.285133,0.358335,0.492404,0.416144,0.500021,
1633,0.503799,0.286927,0.359702,0.491572,0.413384,0.492115,
1634,0.504933,0.284708,0.359749,0.494868,0.410097,0.497438,
1635,0.497128,0.286239,0.361332,0.49605,0.40812,0.499323,
1636,0.497542,0.287062,0.361658,0.497365,0.40641,0.503284,
1637,0.506344,0.288731,0.359439,0.498423,0.408765,0.498257,
1638,0.503113,0.292399,0.360617,0.501682,0.40734,0.508964,
1639,0.505354,0.293006,0.36046,0.503194,0.405125,0.510118,
1640,0.500486,0.295502,0.3609,0.494963,0.40431,0.504988,
1641,0.492321,0.298239,0.36174,0.490834,0.403227,0.509915,
1642,0.485621,0.303573,0.362496,0.492174,0.405941,0.510269,
1643,0.491222,0.300355,0.353328,0.495039,0.406078,0.512054,
1644,0.494054,0.302498,0.353451,0.491697,0.408367,0.51732,
1645,0.490614,0.304208,0.346352,0.492377,0.39978,0.519807,
1646,0.489164,0.306897,0.347251,0.490803,0.401496,0.515957,
1647,0.490454,0.304819,0.350386,0.498178,0.401696,0.516592,
1648,0.486267,0.306257,0.346853,0.488603,0.401139,0.523464,
1649,0.486332,0.304484,0.351092,0.494001,0.403105,0.515568,
1650,0.483416,0.304519,0.355049,0.481194,0.407009,0.519632,
1651,0.483969,0.303216,0.350168,0.47602,0.410237,0.520646,
1652,0.486403,0.299791,0.345073,0.472164,0.41274,0.522514,
1653,0.488997,0.30137,0.345474,0.470713,0.410614,0.524015,
1654,0.490636,0.305728,0.34616,0.468224,0.412896,0.526461,
1655,0.485273,0.30621,0.343683,0.469252,0.412337,0.524395,
1656,0.486688,0.306271,0.344657,0.463814,0.417185,0.524973,
1657,0.491061,0.304206,0.344834,0.463077,0.419048,0.525083,
1658,0.492721,0.300112,0.340859,0.461672,0.414233,0.530345,
1659,0.48956,0.300943,0.342089,0.459269,0.414939,0.527828,
1660,0.498645,0.301859,0.342141,0.45753,0.414319,0.527776,
1661,0.50193,0.300333,0.346447,0.453568,0.413228,0.53325,
1662,0.501542,0.300269,0.344201,0.453335,0.411065,0.529372,
1663,0.500818,0.300666,0.344287,0.446535,0.410443,0.53678,
1664,0.504367,0.30062,0.342337,0.44346,0.407626,0.542754,
1665,0.503668,0.296429,0.345518,0.442833,0.413826,0.542272,
1666,0.499802,0.298676,0.346604,0.440583,0.408338,0.537952,
1667,0.500034,0.298964,0.348925,0.441925,0.414519,0.545785,
1668,0.498425,0.300373,0.34744,0.439932,0.415692,0.542743,
1669,0.493656,0.299979,0.344259,0.4428,0.415587,0.543613,
1670,0.495854,0.2959,0.347718,0.436246,0.401337,0.533613,
1671,0.492714,0.294285,0.346634,0.435744,0.3946,0.530667,
1672,0.496604,0.299092,0.35057,0.437832,0.388837,0.530444,
1673,0.498911,0.29779,0.353322,0.438139,0.388928,0.529106,
1674,0.499656,0.298964,0.351813,0.43711,0.389614,0.532257,
1675,0.50137,0.294802,0.353073,0.436121,0.389803,0.532247,
1676,0.50164,0.298437,0.351884,0.436731,0.389477,0.532206,
1677,0.501156,0.300248,0.351019,0.428952,0.389384,0.532566,
1678,0.502174,0.297246,0.351655,0.431748,0.38947,0.533125,
1679,0.50193,0.292718,0.351354,0.435145,0.388669,0.531826,
1680,0.501669,0.291427,0.352383,0.433673,0.384678,0.533491,
1681,0.501145,0.28736,0.353753,0.427156,0.38608,0.533506,
1682,0.501594,0.286945,0.354414,0.423331,0.386925,0.534809,
1683,0.500473,0.290792,0.353926,0.420102,0.382916,0.537554,
1684,0.499867,0.289237,0.354415,0.435037,0.371564,0.536732,
1685,0.496515,0.287618,0.353926,0.441566,0.366111,0.535198,
1686,0.492125,0.281259,0.355026,0.43996,0.365805,0.533403,
1687,0.495904,0.285453,0.354832,0.430278,0.376192,0.529021,
1688,0.48967,0.273384,0.355995,0.422473,0.384421,0.534694,
1689,0.490603,0.267687,0.358635,0.415042,0.387708,0.537111,
1690,0.489109,0.263104,0.358457,0.412286,0.389687,0.536372,
1691,0.487276,0.257883,0.360562,0.411144,0.390366,0.534275,
1692,0.486574,0.249456,0.361656,0.409457,0.39187,0.535825,
1693,0.486777,0.248011,0.362604,0.408575,0.389954,0.536289,
1694,0.486602,0.249428,0.361273,0.40459,0.395543,0.535817,
1695,0.486727,0.242396,0.359211,0.399115,0.404785,0.533695,
1696,0.48643,0.243275,0.360081,0.398092,0.405546,0.534439,
1697,0.48636,0.241806,0.361615,0.401029,0.399538,0.537574,
1698,0.485861,0.242951,0.360605,0.40719,0.398734,0.539934,
1699,0.487324,0.241237,0.359452,0.403395,0.408823,0.536465,
1700,0.481676,0.241069,0.359678,0.407477,0.409851,0.539223,
1701,0.479677,0.242175,0.363892,0.406267,0.408322,0.540034,
1702,0.482346,0.241602,0.360743,0.408806,0.406746,0.543302,
1703,0.483309,0.241676,0.364586,0.410759,0.406523,0.544233,
1704,0.481813,0.242862,0.360479,0.411064,0.403224,0.544281,
1705,0.479135,0.242665,0.362744,0.406937,0.400689,0.536433,
1706,0.479017,0.243148,0.357875,0.403195,0.398056,0.532896,
1707,0.479199,0.242203,0.352721,0.39968,0.397035,0.531944,
1708,0.479305,0.241089,0.351713,0.405086,0.397275,0.533856,
1709,0.476035,0.240289,0.352711,0.411408,0.402859,0.540088,
1710,0.466183,0.233344,0.34747,0.410712,0.399794,0.533901,
1711,0.470645,0.231002,0.346665,0.411417,0.40383,0.529086,
1712,0.461817,0.228576,0.353398,0.411581,0.405632,0.532239,
1713,0.466583,0.225802,0.348494,0.412416,0.417825,0.542842,
1714,0.473504,0.232754,0.348345,0.413489,0.417988,0.54587,
1715,0.467988,0.228353,0.344315,0.412128,0.410734,0.545662,
1716,0.468439,0.227528,0.341661,0.412493,0.410007,0.547031,
1717,0.469514,0.224785,0.337616,0.412395,0.410751,0.544207,
1718,0.47438,0.22449,0.330564,0.415129,0.407011,0.548406,
1719,0.470628,0.225049,0.344659,0.416121,0.399924,0.551846,
1720,0.471097,0.221801,0.346771,0.412795,0.398918,0.553636,
1721,0.467386,0.22226,0.352415,0.416529,0.398925,0.554957,
1722,0.466431,0.22169,0.35142,0.416244,0.398788,0.553334,
1723,0.461385,0.223606,0.356657,0.41535,0.397735,0.552924,
1724,0.480827,0.221905,0.34973,0.412426,0.394131,0.54681,
1725,0.486274,0.220522,0.346534,0.411993,0.395413,0.547528,
1726,0.484035,0.222672,0.347652,0.410829,0.395836,0.543147,
1727,0.487514,0.223135,0.34636,0.411151,0.394427,0.541472,
1728,0.489249,0.21946,0.342146,0.407401,0.393691,0.54252,
1729,0.491023,0.217428,0.335391,0.407695,0.392954,0.544055,
1730,0.491327,0.217585,0.3338,0.407341,0.395692,0.543723,
1731,0.489691,0.220996,0.342359,0.409257,0.392926,0.543893,
1732,0.493614,0.21789,0.337044,0.405908,0.391082,0.544088,
1733,0.489282,0.216753,0.333335,0.407376,0.390055,0.543505,
1734,0.485798,0.215984,0.333361,0.407573,0.39336,0.544114,
1735,0.484981,0.216785,0.334114,0.410621,0.393919,0.545637,
1736,0.482606,0.215971,0.334766,0.410002,0.390492,0.542262,
1737,0.48695,0.214883,0.336245,0.409325,0.394415,0.543087,
1738,0.487727,0.21872,0.336675,0.406513,0.39598,0.543547,
1739,0.486563,0.215628,0.330429,0.404759,0.396992,0.541471,
1740,0.483143,0.21564,0.322875,0.404147,0.396316,0.5434,
1741,0.490801,0.21612,0.316903,0.40752,0.396739,0.544543,
1742,0.487244,0.216673,0.315586,0.409266,0.395868,0.538619,
1743,0.493536,0.219688,0.314947,0.408857,0.395858,0.53998,
1744,0.491494,0.215881,0.313167,0.406694,0.394473,0.544786,
1745,0.50032,0.212343,0.316871,0.408543,0.393798,0.540982,
1746,0.492497,0.21332,0.313326,0.407969,0.397224,0.538653,
1747,0.483177,0.214008,0.308891,0.40557,0.400498,0.537062,
1748,0.483165,0.21265,0.309783,0.404939,0.3984,0.537716,
1749,0.485207,0.207165,0.311427,0.405448,0.396191,0.539923,
1750,0.485832,0.208287,0.311788,0.404946,0.400221,0.538093,
1751,0.482981,0.212515,0.309106,0.404815,0.397862,0.541387,
1752,0.483573,0.208964,0.316793,0.405037,0.39643,0.539513,
1753,0.48081,0.212844,0.31907,0.402314,0.394179,0.536409,
1754,0.482338,0.208562,0.315917,0.40248,0.394861,0.53012,
1755,0.480041,0.212149,0.32153,0.407578,0.392836,0.522837,
1756,0.481917,0.210426,0.321858,0.411094,0.391897,0.52025,
1757,0.481378,0.21489,0.32539,0.412061,0.39229,0.522776,
1758,0.479721,0.214785,0.325655,0.410745,0.389758,0.523845,
1759,0.484603,0.214582,0.325442,0.41159,0.387478,0.522971,
1760,0.485588,0.21471,0.32562,0.406705,0.384512,0.523238,
1761,0.48726,0.214656,0.325876,0.406576,0.382378,0.523515,
1762,0.480082,0.210003,0.326531,0.404512,0.387363,0.522646,
1763,0.482958,0.210242,0.325543,0.401987,0.388148,0.522417,
1764,0.48709,0.215559,0.325944,0.405774,0.390024,0.523133,
1765,0.4936,0.217167,0.322729,0.406792,0.392949,0.523083,
1766,0.495449,0.212981,0.324515,0.406805,0.393022,0.522763,
1767,0.501963,0.215706,0.322742,0.401833,0.390156,0.521511,
1768,0.50743,0.217145,0.322254,0.401498,0.392575,0.522702,
1769,0.505874,0.218021,0.322282,0.398881,0.390336,0.522511,
1770,0.507781,0.218534,0.32141,0.397865,0.389279,0.522031,
1771,0.505509,0.218616,0.320567,0.399148,0.386892,0.52202,
1772,0.503554,0.218843,0.316693,0.398738,0.388419,0.523993,
1773,0.501463,0.219139,0.319455,0.399146,0.38751,0.522804,
1774,0.502343,0.225537,0.309855,0.399029,0.395783,0.522791,
1775,0.502019,0.223015,0.306417,0.395529,0.398514,0.522619,
1776,0.503389,0.224469,0.308795,0.39768,0.39781,0.521497,
1777,0.505142,0.221254,0.312022,0.403043,0.397423,0.52037,
1778,0.508262,0.224333,0.312374,0.401386,0.397355,0.517722,
1779,0.509452,0.220329,0.306571,0.401227,0.394193,0.518236,
1780,0.508374,0.224355,0.313706,0.401314,0.400013,0.518745,
1781,0.507067,0.225082,0.313482,0.403543,0.399189,0.521474,
1782,0.506942,0.220477,0.314137,0.402942,0.395878,0.519659,
1783,0.511704,0.219149,0.314036,0.404271,0.394701,0.522265,
1784,0.509082,0.220279,0.312426,0.404406,0.397387,0.523168,
1785,0.508607,0.218359,0.312312,0.405079,0.396671,0.523958,
1786,0.504024,0.219923,0.310737,0.401071,0.397119,0.523377,
1787,0.495605,0.220331,0.313047,0.390255,0.397055,0.51913,
1788,0.495336,0.220059,0.313003,0.383268,0.40042,0.519843,
1789,0.498122,0.216715,0.313025,0.386135,0.399744,0.517023,
1790,0.494359,0.219163,0.313595,0.386738,0.40032,0.521122,
1791,0.494555,0.22007,0.316335,0.383014,0.400452,0.518959,
1792,0.496808,0.220949,0.321833,0.374474,0.397349,0.515694,
1793,0.500612,0.217148,0.318886,0.364882,0.401789,0.519643,
1794,0.510109,0.209373,0.309147,0.365164,0.402164,0.518755,
1795,0.507691,0.207673,0.309355,0.363676,0.409608,0.518983,
1796,0.512844,0.207921,0.307566,0.361974,0.419134,0.51997,
1797,0.517996,0.207106,0.306902,0.367242,0.409062,0.517351,
1798,0.52179,0.203649,0.305379,0.364926,0.412633,0.516631,
1799,0.518359,0.205142,0.307251,0.362313,0.426506,0.518504,
1800,0.524538,0.202016,0.302691,0.360034,0.434381,0.518397,
1801,0.526485,0.201653,0.299102,0.358225,0.433863,0.518039,
