Index of Gen, I#1: Average AdditionProb of Gen, Average SubstractionProb of Gen, Average SubstitutionProb of Gen, I#2: Average AdditionProb of Gen, Average SubstractionProb of Gen, Average SubstitutionProb of Gen, I#3: Average AdditionProb of Gen, Average SubstractionProb of Gen, Average SubstitutionProb of Gen, I#4: Average AdditionProb of Gen, Average SubstractionProb of Gen, Average SubstitutionProb of Gen, I#5: Average AdditionProb of Gen, Average SubstractionProb of Gen, Average SubstitutionProb of Gen, I#6: Average AdditionProb of Gen, Average SubstractionProb of Gen, Average SubstitutionProb of Gen, I#7: Average AdditionProb of Gen, Average SubstractionProb of Gen, Average SubstitutionProb of Gen, I#8: Average AdditionProb of Gen, Average SubstractionProb of Gen, Average SubstitutionProb of Gen, 
208,0.368022,0.500619,0.439596,0.448547,0.55288,0.538715,0.49165,0.551008,0.592519,0.815224,0.806961,0.551805,0.153093,0.261401,0.706575,0.159882,0.0419372,0.123304,0.491601,0.537387,0.578277,0.499751,0.209381,0.755393,
209,0.368605,0.499843,0.440416,0.447763,0.553061,0.53938,0.492306,0.54522,0.590388,0.819492,0.807169,0.549105,0.154252,0.258948,0.705064,0.15959,0.0425419,0.122484,0.490446,0.538253,0.578785,0.496688,0.212945,0.751938,
210,0.370505,0.50254,0.441222,0.448255,0.552832,0.537621,0.489897,0.548426,0.592656,0.816956,0.813764,0.548019,0.156074,0.253908,0.705391,0.15943,0.0425375,0.122535,0.492342,0.536815,0.577873,0.495339,0.213161,0.754636,
211,0.372362,0.501674,0.442031,0.447268,0.55215,0.53556,0.490403,0.546145,0.591852,0.819659,0.809604,0.545995,0.156114,0.253489,0.703867,0.160472,0.0416453,0.123222,0.492393,0.534275,0.582676,0.490649,0.217548,0.759641,
212,0.372525,0.489867,0.442082,0.44769,0.552677,0.534356,0.487181,0.546111,0.591134,0.820674,0.805553,0.532713,0.161434,0.248466,0.696338,0.161212,0.0411648,0.123132,0.492912,0.531106,0.590958,0.494262,0.219146,0.754108,
213,0.369394,0.485464,0.444036,0.446096,0.55242,0.534825,0.484563,0.549208,0.590613,0.817715,0.797281,0.533314,0.160172,0.247702,0.694874,0.157832,0.0416673,0.126954,0.4925,0.529136,0.59484,0.491414,0.219799,0.751103,
214,0.373035,0.485669,0.442692,0.444758,0.552167,0.531955,0.486997,0.549201,0.593425,0.817587,0.795775,0.529422,0.162262,0.248863,0.695338,0.158736,0.042254,0.126488,0.491895,0.526718,0.59629,0.489345,0.217078,0.749831,
215,0.369245,0.480665,0.441889,0.449365,0.552439,0.529501,0.486149,0.553718,0.589045,0.81832,0.778214,0.530894,0.156033,0.249152,0.694244,0.154606,0.0460662,0.120667,0.489983,0.52329,0.598417,0.487958,0.216327,0.751048,
216,0.368756,0.479877,0.442077,0.446598,0.553216,0.533067,0.488218,0.553009,0.592768,0.819188,0.776787,0.531489,0.158522,0.254827,0.69529,0.155888,0.0410336,0.122708,0.492466,0.522763,0.59822,0.482623,0.217698,0.747459,
217,0.369415,0.480924,0.444072,0.446598,0.553139,0.536068,0.497784,0.548891,0.599576,0.818832,0.776618,0.525019,0.159641,0.248275,0.697293,0.151756,0.0461578,0.123137,0.495214,0.532658,0.596809,0.475917,0.215878,0.74403,
218,0.367264,0.482526,0.444077,0.448633,0.552987,0.538233,0.499438,0.545022,0.606829,0.817151,0.773254,0.524491,0.157613,0.25007,0.695121,0.154054,0.0494941,0.123043,0.496155,0.534188,0.5974,0.478363,0.216452,0.734061,
219,0.362482,0.481477,0.443595,0.447144,0.553021,0.540372,0.49926,0.545708,0.607005,0.816958,0.773638,0.529115,0.159169,0.259184,0.695586,0.156901,0.0492413,0.123108,0.496905,0.534889,0.598306,0.474136,0.205853,0.736567,
220,0.368362,0.481809,0.444048,0.449874,0.552574,0.540645,0.499929,0.545854,0.609405,0.816248,0.772917,0.533177,0.154295,0.24278,0.695804,0.157588,0.0540809,0.12228,0.491853,0.532547,0.600624,0.47384,0.206019,0.736467,
221,0.371504,0.483211,0.444496,0.446797,0.550973,0.539996,0.49983,0.545553,0.613771,0.814441,0.773024,0.538847,0.153092,0.234954,0.695757,0.157935,0.0622212,0.139246,0.489782,0.528222,0.599762,0.471181,0.209423,0.733001,
222,0.374125,0.480906,0.446934,0.448382,0.552717,0.543195,0.500044,0.546717,0.614701,0.817934,0.758062,0.530718,0.152689,0.229872,0.692125,0.157816,0.0624825,0.142936,0.493605,0.530674,0.598347,0.473109,0.209189,0.732881,
223,0.370059,0.480837,0.446821,0.442744,0.552356,0.547341,0.500393,0.545952,0.619782,0.817929,0.752605,0.526584,0.153276,0.229686,0.688614,0.160362,0.0592873,0.14168,0.491404,0.528494,0.595854,0.473904,0.209778,0.732879,
224,0.370037,0.481562,0.444654,0.444811,0.549842,0.547974,0.501054,0.546734,0.619199,0.818523,0.742743,0.52298,0.152243,0.229,0.69675,0.154823,0.0614632,0.142499,0.491086,0.528041,0.593217,0.473955,0.209693,0.731716,
225,0.369842,0.478925,0.447498,0.447353,0.548887,0.548365,0.500037,0.546274,0.618786,0.825533,0.726854,0.519683,0.152484,0.234216,0.695716,0.165786,0.053091,0.141393,0.492663,0.530094,0.590243,0.473387,0.211181,0.733947,
226,0.370166,0.479095,0.446396,0.445352,0.547776,0.547032,0.502443,0.550961,0.622409,0.819987,0.727031,0.519439,0.151286,0.233221,0.695099,0.166252,0.0514218,0.140873,0.494072,0.530939,0.589739,0.473728,0.219241,0.733291,
227,0.367845,0.478892,0.447154,0.445512,0.545936,0.545156,0.511981,0.545881,0.622053,0.821513,0.726167,0.519803,0.151747,0.230929,0.695118,0.164265,0.0611144,0.14286,0.494253,0.525685,0.584018,0.473574,0.216946,0.732821,
228,0.366266,0.475038,0.447539,0.446305,0.547471,0.546954,0.51251,0.546562,0.623151,0.819568,0.7236,0.518946,0.152226,0.231186,0.696599,0.163488,0.0609439,0.14281,0.495251,0.523559,0.589884,0.473889,0.213925,0.733707,
229,0.367583,0.475596,0.449943,0.447169,0.536295,0.5438,0.513162,0.54609,0.622111,0.82095,0.719543,0.521756,0.150257,0.228726,0.697012,0.163049,0.0630487,0.143586,0.496973,0.513762,0.597211,0.474066,0.215517,0.733235,
230,0.366161,0.480325,0.448692,0.458599,0.522812,0.551377,0.513647,0.546866,0.620978,0.81826,0.719961,0.522602,0.150302,0.229508,0.696798,0.164138,0.073751,0.142975,0.500686,0.511298,0.597931,0.473513,0.210926,0.73527,
231,0.367508,0.487194,0.448074,0.461355,0.523331,0.549467,0.513232,0.545493,0.621301,0.814318,0.728256,0.517105,0.148751,0.228063,0.695443,0.163169,0.0709092,0.143223,0.50652,0.508987,0.597206,0.473144,0.215109,0.739598,
232,0.366647,0.492668,0.446192,0.461078,0.519355,0.549331,0.509479,0.546245,0.620774,0.811821,0.7319,0.519889,0.15245,0.233412,0.694633,0.16356,0.0576817,0.143432,0.50659,0.505894,0.597496,0.473743,0.212759,0.738176,
233,0.365561,0.494751,0.445311,0.458888,0.52701,0.548244,0.509228,0.546248,0.621662,0.812615,0.731056,0.520708,0.162778,0.23582,0.696869,0.155269,0.0689346,0.133701,0.507019,0.507198,0.598154,0.47417,0.214976,0.741171,
234,0.365977,0.495729,0.44507,0.464253,0.517816,0.551272,0.512613,0.546993,0.622316,0.811346,0.732366,0.518665,0.164743,0.236343,0.6923,0.151906,0.0730436,0.131945,0.51049,0.502154,0.600494,0.47469,0.210132,0.74617,
235,0.366908,0.491293,0.4485,0.463681,0.523541,0.547543,0.513508,0.544304,0.621385,0.816095,0.730009,0.521195,0.152799,0.237654,0.68836,0.152505,0.0745408,0.130462,0.51462,0.501433,0.604034,0.470095,0.202038,0.740136,
236,0.370689,0.492535,0.447564,0.4695,0.514863,0.540283,0.515257,0.545132,0.621364,0.822296,0.727693,0.518244,0.152361,0.23735,0.691179,0.152738,0.074175,0.1214,0.513897,0.502578,0.604898,0.470604,0.198882,0.741832,
237,0.370064,0.494919,0.44992,0.468101,0.507656,0.552372,0.514828,0.545102,0.619513,0.821924,0.727225,0.518725,0.15842,0.236627,0.697997,0.145369,0.0743746,0.115919,0.513154,0.502077,0.606075,0.474671,0.196681,0.744396,
238,0.371189,0.496371,0.44911,0.467399,0.507078,0.552818,0.514253,0.546082,0.618366,0.823092,0.728542,0.52133,0.161749,0.236923,0.701744,0.141909,0.0657469,0.116962,0.517013,0.505207,0.606222,0.473856,0.194439,0.74958,
239,0.369535,0.497514,0.451528,0.467389,0.506381,0.552198,0.516614,0.54529,0.619905,0.824776,0.728691,0.521713,0.163965,0.236035,0.700056,0.150696,0.0662888,0.0973681,0.520478,0.507102,0.607808,0.471765,0.194764,0.749357,
240,0.367335,0.502047,0.454815,0.466081,0.507097,0.552089,0.519758,0.545949,0.621548,0.824336,0.729776,0.522079,0.165016,0.236904,0.698301,0.152107,0.0665309,0.0944529,0.520669,0.506993,0.604159,0.47015,0.193577,0.746085,
241,0.367981,0.501439,0.453759,0.46759,0.508469,0.553134,0.517366,0.546675,0.624836,0.823434,0.729083,0.52068,0.160194,0.236347,0.701761,0.154619,0.0662522,0.0946172,0.525313,0.508351,0.603963,0.473255,0.1957,0.753014,
242,0.364101,0.502141,0.454687,0.468201,0.507853,0.550799,0.517612,0.546669,0.624008,0.823884,0.730274,0.522428,0.163536,0.23596,0.701992,0.153342,0.0656828,0.0940293,0.533542,0.509541,0.603026,0.473502,0.195896,0.754616,
243,0.367085,0.509134,0.458453,0.46559,0.508409,0.548668,0.521172,0.546259,0.621424,0.822857,0.729294,0.521349,0.155014,0.239687,0.711761,0.154023,0.066458,0.0944274,0.531945,0.509274,0.606966,0.472727,0.19552,0.75067,
244,0.368177,0.507877,0.455739,0.464881,0.50874,0.552193,0.524898,0.548411,0.619653,0.825915,0.733424,0.521925,0.156477,0.238577,0.710194,0.151082,0.0667886,0.0949931,0.528886,0.505511,0.610945,0.472993,0.19538,0.74931,
245,0.369131,0.507378,0.457288,0.46479,0.508886,0.547603,0.515679,0.546424,0.624968,0.827786,0.732772,0.521242,0.159304,0.240491,0.714656,0.150911,0.0664628,0.101183,0.528244,0.504392,0.612821,0.472714,0.187697,0.756433,
246,0.368654,0.506534,0.455274,0.467675,0.507837,0.547048,0.517651,0.544971,0.627344,0.826911,0.731572,0.516457,0.155929,0.235497,0.715114,0.151893,0.0667252,0.0960828,0.52922,0.503836,0.612466,0.472318,0.19207,0.759261,
247,0.368578,0.508236,0.454958,0.473756,0.508548,0.549563,0.518824,0.544729,0.62768,0.827893,0.733832,0.508311,0.151838,0.252372,0.719969,0.152816,0.0676857,0.0949464,0.526956,0.505222,0.612561,0.471933,0.188472,0.754034,
248,0.367025,0.505707,0.45431,0.476345,0.507724,0.548398,0.522348,0.545407,0.627875,0.827115,0.732707,0.510767,0.153831,0.249137,0.724227,0.152207,0.0673053,0.0949042,0.528953,0.506987,0.611263,0.471864,0.186413,0.747774,
249,0.374085,0.505168,0.45585,0.476935,0.508361,0.548067,0.519931,0.545262,0.627854,0.827185,0.729566,0.511755,0.152639,0.248411,0.727481,0.152934,0.0641672,0.0944958,0.535223,0.505109,0.613378,0.471275,0.192422,0.754885,
250,0.37418,0.502143,0.456301,0.478336,0.506198,0.547552,0.518419,0.545281,0.627376,0.824592,0.726974,0.529267,0.154699,0.249992,0.729725,0.152186,0.0671518,0.0948126,0.556856,0.501996,0.612596,0.471618,0.191106,0.745852,
251,0.375286,0.500784,0.455756,0.479533,0.506017,0.542406,0.519142,0.548989,0.627516,0.823742,0.726402,0.528107,0.158426,0.248371,0.73215,0.152358,0.0660268,0.0940629,0.557258,0.502536,0.612726,0.470985,0.189315,0.744644,
252,0.372579,0.503136,0.457207,0.473501,0.5065,0.54706,0.516854,0.552419,0.62206,0.826729,0.72759,0.528243,0.157252,0.248921,0.732289,0.149987,0.0666935,0.0922519,0.560893,0.498866,0.613079,0.472988,0.186748,0.743599,
253,0.371409,0.502644,0.457526,0.45911,0.507125,0.555776,0.515079,0.554941,0.618962,0.826075,0.736968,0.524233,0.15517,0.266951,0.726268,0.151579,0.0657152,0.0867528,0.564916,0.498224,0.613518,0.474437,0.183148,0.742316,
254,0.366579,0.502754,0.456413,0.456634,0.509437,0.558418,0.516424,0.552578,0.6206,0.826186,0.739607,0.525563,0.156387,0.262091,0.728529,0.149814,0.0669132,0.0869764,0.569965,0.49702,0.613649,0.474904,0.176184,0.733423,
255,0.367137,0.498657,0.453054,0.458555,0.512085,0.556616,0.520713,0.543636,0.62741,0.819499,0.740228,0.526836,0.16034,0.244769,0.726881,0.149525,0.0669924,0.087593,0.57182,0.500838,0.613081,0.476615,0.176207,0.734247,
256,0.369892,0.48734,0.457053,0.459661,0.513986,0.554634,0.521616,0.542723,0.62743,0.822928,0.737589,0.528361,0.165001,0.23134,0.720512,0.152804,0.0663179,0.086618,0.571529,0.498014,0.614099,0.477183,0.175814,0.733668,
257,0.367135,0.486575,0.45712,0.46149,0.513004,0.556088,0.521722,0.542286,0.629051,0.826138,0.736988,0.527429,0.164129,0.231214,0.715929,0.152376,0.0664941,0.0862886,0.573092,0.500286,0.615516,0.475026,0.175924,0.733379,
258,0.36687,0.486646,0.456851,0.45918,0.507898,0.558824,0.524874,0.5401,0.632288,0.828141,0.736471,0.529927,0.163931,0.230963,0.715675,0.152432,0.0664733,0.0905857,0.581225,0.505023,0.616604,0.476073,0.176217,0.733679,
259,0.36419,0.48977,0.456329,0.453219,0.511647,0.561279,0.525208,0.539062,0.635694,0.82981,0.730575,0.533467,0.163218,0.230641,0.719598,0.154763,0.0669457,0.0839186,0.581353,0.505625,0.615148,0.479403,0.181467,0.734506,
260,0.370746,0.489981,0.458163,0.454083,0.507963,0.567448,0.522036,0.537173,0.636737,0.828665,0.73704,0.537451,0.162793,0.230992,0.720341,0.152669,0.066655,0.0868139,0.582848,0.508406,0.613246,0.479702,0.175336,0.73491,
261,0.371656,0.491628,0.45989,0.449923,0.506079,0.56478,0.527811,0.536566,0.634594,0.82758,0.732934,0.528982,0.163401,0.231619,0.715064,0.152814,0.0664157,0.0868802,0.585092,0.510619,0.60746,0.479428,0.174125,0.73408,
262,0.375382,0.489,0.4609,0.449358,0.504585,0.562425,0.525552,0.538949,0.6318,0.823116,0.736361,0.530138,0.164006,0.232397,0.710278,0.153182,0.0662064,0.0882258,0.586296,0.512783,0.604923,0.480097,0.164296,0.734357,
263,0.369028,0.489187,0.457433,0.454723,0.503877,0.558248,0.523551,0.542266,0.637565,0.827175,0.734461,0.52181,0.164546,0.233086,0.711812,0.152527,0.0675708,0.0864094,0.586539,0.512896,0.607497,0.48022,0.166951,0.73561,
264,0.365887,0.490999,0.455071,0.456154,0.502582,0.558707,0.524901,0.533442,0.634856,0.828399,0.733359,0.529832,0.163672,0.230665,0.709544,0.153513,0.06686,0.0866474,0.584666,0.511922,0.608678,0.479676,0.174378,0.734697,
265,0.363618,0.492723,0.453098,0.456501,0.504142,0.557285,0.532807,0.521013,0.63476,0.82715,0.729501,0.534145,0.163296,0.230578,0.712865,0.158208,0.0667465,0.08674,0.584809,0.510979,0.607671,0.47967,0.167477,0.736317,
266,0.365476,0.497699,0.45354,0.455684,0.505674,0.557589,0.533747,0.52041,0.634316,0.827155,0.729509,0.53591,0.16329,0.231307,0.718848,0.154953,0.0655271,0.0892977,0.582538,0.50992,0.608519,0.475663,0.165642,0.736844,
267,0.368011,0.498543,0.454818,0.450781,0.50631,0.560394,0.533004,0.519598,0.636256,0.828488,0.726733,0.537184,0.166346,0.230728,0.719518,0.152499,0.0667857,0.104886,0.584008,0.511121,0.609349,0.476422,0.168016,0.736313,
268,0.365171,0.492144,0.453413,0.449787,0.50926,0.561581,0.531506,0.520602,0.635724,0.82844,0.723045,0.541351,0.163948,0.230734,0.717301,0.152671,0.0655779,0.103476,0.583623,0.509813,0.614827,0.480812,0.169471,0.736708,
269,0.363618,0.490496,0.452075,0.45171,0.510594,0.564036,0.528934,0.521301,0.635256,0.816278,0.716968,0.543345,0.163997,0.23098,0.716761,0.152915,0.0662096,0.104137,0.585275,0.508858,0.619997,0.48073,0.167161,0.737201,
270,0.356892,0.484772,0.452384,0.453512,0.508728,0.566182,0.525075,0.521167,0.633148,0.812525,0.72104,0.542649,0.165641,0.231595,0.720217,0.161355,0.0653889,0.104326,0.584053,0.510822,0.614896,0.479991,0.154854,0.73494,
271,0.345016,0.475437,0.450565,0.4503,0.510508,0.568833,0.528311,0.517957,0.636347,0.812388,0.720745,0.540661,0.165676,0.231877,0.719847,0.136538,0.064909,0.105395,0.582261,0.509048,0.618258,0.477675,0.153382,0.733892,
272,0.347589,0.477819,0.450533,0.448768,0.50919,0.571044,0.530088,0.514389,0.634957,0.809911,0.732555,0.542503,0.167196,0.231034,0.720927,0.134423,0.0645038,0.105538,0.581106,0.513109,0.619551,0.480067,0.151637,0.734527,
273,0.343444,0.473934,0.45046,0.450427,0.50874,0.573802,0.529408,0.517273,0.638458,0.81458,0.7162,0.542314,0.166213,0.230386,0.724281,0.130942,0.0651489,0.105835,0.583993,0.521869,0.618093,0.48059,0.148033,0.73504,
274,0.339005,0.470268,0.451599,0.451072,0.51099,0.578624,0.52639,0.521817,0.63842,0.81227,0.718845,0.542435,0.162208,0.224896,0.730413,0.134497,0.0651348,0.108445,0.581667,0.519909,0.623253,0.480504,0.147132,0.734364,
275,0.339022,0.480577,0.451881,0.450263,0.51003,0.575654,0.521853,0.52214,0.649403,0.813894,0.724897,0.542385,0.165183,0.224092,0.728443,0.134301,0.0652116,0.112994,0.585966,0.509644,0.629597,0.481969,0.150793,0.732677,
276,0.338941,0.4847,0.45142,0.451171,0.510057,0.575504,0.524624,0.522825,0.651455,0.812693,0.725535,0.542669,0.169874,0.224969,0.729095,0.134817,0.065767,0.118549,0.581559,0.507604,0.624344,0.483211,0.149851,0.733474,
277,0.341682,0.478397,0.46159,0.448778,0.513654,0.569451,0.52193,0.526965,0.647989,0.813286,0.72373,0.542548,0.164335,0.221483,0.729654,0.134859,0.0648063,0.129076,0.591365,0.504215,0.633838,0.481988,0.145604,0.73442,
278,0.340773,0.475232,0.4646,0.449378,0.513616,0.57002,0.523215,0.51818,0.650475,0.811426,0.727163,0.542259,0.164893,0.224651,0.729581,0.134445,0.0736082,0.132787,0.594753,0.498478,0.634025,0.489301,0.161115,0.739696,
279,0.339487,0.467946,0.477293,0.44849,0.513419,0.566454,0.523959,0.514269,0.654322,0.812315,0.72212,0.542137,0.16713,0.221856,0.733999,0.13459,0.0755194,0.134379,0.596518,0.492714,0.634386,0.488637,0.160769,0.741377,
280,0.341289,0.465833,0.479131,0.449237,0.513428,0.56373,0.524839,0.512855,0.655491,0.811301,0.721906,0.542899,0.159594,0.215786,0.729047,0.134074,0.0751128,0.134622,0.594337,0.497013,0.636225,0.492983,0.162442,0.735974,
281,0.339146,0.465373,0.478454,0.449511,0.513693,0.569058,0.524683,0.513046,0.654963,0.809725,0.717056,0.543167,0.158471,0.213363,0.725073,0.134252,0.0745692,0.134541,0.593416,0.496941,0.633437,0.495358,0.161487,0.731948,
282,0.338782,0.464978,0.478768,0.448842,0.51338,0.568906,0.528628,0.519379,0.663398,0.802102,0.724701,0.550815,0.156743,0.21112,0.715798,0.134443,0.0706043,0.134373,0.593466,0.496727,0.626252,0.495814,0.160484,0.733902,
283,0.33494,0.463898,0.478894,0.449148,0.513444,0.567677,0.528286,0.521188,0.664812,0.799083,0.725746,0.547511,0.154867,0.210978,0.715159,0.134694,0.0681914,0.135358,0.59386,0.497501,0.623746,0.496741,0.149681,0.730939,
284,0.335097,0.464703,0.478724,0.449406,0.509759,0.569451,0.530253,0.521286,0.661229,0.796945,0.725813,0.550842,0.15642,0.214714,0.710829,0.134705,0.0682416,0.134689,0.593647,0.497311,0.626201,0.497543,0.148848,0.727555,
285,0.337328,0.462851,0.477333,0.449925,0.510787,0.567858,0.528183,0.521037,0.656621,0.795112,0.725193,0.545148,0.159818,0.218504,0.709977,0.134857,0.0706994,0.134833,0.594294,0.496973,0.633671,0.496151,0.144761,0.729257,
286,0.336775,0.466232,0.471875,0.452188,0.50932,0.569416,0.527443,0.523261,0.659485,0.78504,0.724836,0.550967,0.15878,0.219113,0.702323,0.13486,0.0672579,0.133165,0.594865,0.497893,0.634144,0.501102,0.145359,0.726983,
287,0.341276,0.463056,0.473505,0.452809,0.50728,0.568122,0.527751,0.519543,0.654608,0.793343,0.725452,0.546447,0.153828,0.218798,0.707815,0.133902,0.0670959,0.132261,0.595809,0.496789,0.631863,0.500577,0.147655,0.730685,
288,0.341437,0.468911,0.476163,0.451191,0.510507,0.56475,0.528284,0.518625,0.654656,0.797296,0.725638,0.545255,0.148023,0.218907,0.709849,0.134545,0.0684095,0.121304,0.597866,0.497244,0.638185,0.501257,0.141264,0.729601,
289,0.344452,0.461162,0.468276,0.456435,0.505927,0.569953,0.52867,0.518118,0.650497,0.800989,0.724564,0.546008,0.147452,0.21734,0.709094,0.134327,0.0683228,0.122605,0.597556,0.497491,0.637007,0.506214,0.144956,0.729736,
290,0.346502,0.464637,0.465713,0.451779,0.493366,0.566888,0.527401,0.504537,0.641347,0.799601,0.72514,0.5455,0.143347,0.216409,0.709953,0.134457,0.0698665,0.116739,0.597243,0.497029,0.631223,0.505257,0.140923,0.728897,
291,0.33994,0.463281,0.461607,0.451746,0.492931,0.567484,0.530599,0.500041,0.640853,0.791587,0.724959,0.545361,0.142906,0.216529,0.714493,0.134221,0.0766355,0.115881,0.597275,0.497023,0.628324,0.508088,0.144321,0.728825,
292,0.33757,0.459744,0.462334,0.452727,0.491875,0.562217,0.536331,0.497909,0.641239,0.789522,0.726921,0.550261,0.144956,0.218974,0.713515,0.134821,0.0758994,0.115751,0.597568,0.493978,0.629829,0.509804,0.14599,0.731865,
293,0.335253,0.459736,0.461216,0.453008,0.492259,0.562918,0.544197,0.503909,0.636515,0.79003,0.725452,0.545994,0.149442,0.218139,0.712057,0.137195,0.0745547,0.116501,0.597454,0.489113,0.640181,0.517594,0.145914,0.731073,
294,0.336925,0.457424,0.463016,0.451273,0.489428,0.564516,0.537054,0.501936,0.633005,0.795469,0.72499,0.543342,0.143534,0.215505,0.710715,0.149809,0.0695985,0.1033,0.598168,0.487441,0.646502,0.51553,0.144348,0.731897,
295,0.336937,0.455736,0.462969,0.450736,0.492538,0.565115,0.534558,0.503088,0.630739,0.797569,0.725041,0.545086,0.132077,0.220706,0.711119,0.152139,0.0685126,0.10069,0.597393,0.48643,0.642992,0.517425,0.140153,0.720877,
296,0.337071,0.450192,0.467084,0.453696,0.494108,0.569995,0.535983,0.502396,0.630489,0.789359,0.724891,0.544622,0.136275,0.221488,0.711607,0.152013,0.0686849,0.10056,0.597075,0.487468,0.642196,0.518878,0.138888,0.721174,
297,0.338246,0.448912,0.466011,0.453014,0.494815,0.568831,0.537713,0.502531,0.631407,0.788877,0.722296,0.544467,0.137837,0.221785,0.714367,0.15181,0.0684865,0.100877,0.596898,0.483935,0.649902,0.527879,0.156161,0.726948,
298,0.338839,0.448986,0.462677,0.454017,0.496688,0.567958,0.535782,0.502922,0.628695,0.793566,0.724364,0.53554,0.141244,0.219457,0.713906,0.15138,0.0685668,0.100874,0.596353,0.484622,0.653418,0.539409,0.160331,0.728617,
299,0.339462,0.448689,0.461782,0.453909,0.500086,0.567792,0.5325,0.503692,0.630773,0.788219,0.721189,0.540905,0.144202,0.224431,0.713957,0.152071,0.0690253,0.100694,0.59531,0.488633,0.648273,0.541013,0.165657,0.728668,
300,0.34145,0.447876,0.460703,0.453382,0.495318,0.56866,0.529595,0.502147,0.625655,0.782735,0.722257,0.543613,0.144308,0.222484,0.720907,0.152054,0.0704694,0.101314,0.595593,0.485602,0.650953,0.544871,0.168957,0.73066,
301,0.338508,0.44749,0.459335,0.453135,0.494563,0.567948,0.533424,0.498738,0.62579,0.779364,0.725039,0.540809,0.14429,0.224203,0.716524,0.152281,0.0702378,0.10094,0.592365,0.484214,0.65267,0.539659,0.173605,0.729208,
302,0.335933,0.44905,0.462184,0.453546,0.493962,0.569224,0.535259,0.494818,0.62876,0.773921,0.725449,0.538801,0.146369,0.222406,0.721015,0.152681,0.0682962,0.102569,0.5857,0.486529,0.649933,0.535818,0.17608,0.729197,
303,0.339955,0.448491,0.462504,0.455067,0.49759,0.569466,0.533519,0.496757,0.625659,0.767584,0.72397,0.536832,0.147791,0.222046,0.72217,0.151266,0.068664,0.10379,0.590768,0.488125,0.640059,0.541603,0.169701,0.72952,
304,0.341556,0.45074,0.46228,0.454335,0.495613,0.56767,0.537428,0.49589,0.626433,0.766868,0.720439,0.537186,0.148852,0.227128,0.715307,0.151818,0.0685875,0.106448,0.594148,0.488713,0.630976,0.536758,0.177998,0.724346,
305,0.343244,0.463671,0.463744,0.454691,0.494509,0.569244,0.541482,0.497307,0.62112,0.76228,0.721114,0.535268,0.152564,0.228751,0.716206,0.152408,0.0686799,0.10362,0.592317,0.486738,0.634246,0.533227,0.182123,0.728828,
306,0.339114,0.457163,0.463438,0.455894,0.491588,0.569675,0.540243,0.502065,0.616355,0.762397,0.717491,0.535003,0.153021,0.228314,0.715617,0.152657,0.0690316,0.103431,0.600831,0.496013,0.622208,0.533113,0.180951,0.729297,
307,0.341867,0.459713,0.463448,0.456935,0.486192,0.573635,0.54193,0.499096,0.609821,0.761154,0.710543,0.531799,0.155854,0.228542,0.713668,0.151635,0.0668677,0.10079,0.598248,0.488603,0.635923,0.532851,0.178213,0.728405,
308,0.338838,0.467778,0.461228,0.454028,0.488709,0.567644,0.5459,0.49685,0.612489,0.760197,0.706153,0.525743,0.153411,0.228772,0.716745,0.153793,0.0684347,0.0975773,0.599402,0.490721,0.627526,0.531092,0.180294,0.728552,
309,0.340151,0.459485,0.463673,0.455164,0.491548,0.564244,0.542374,0.498367,0.612509,0.761722,0.705755,0.533415,0.152556,0.22814,0.716234,0.154169,0.068926,0.0961428,0.599492,0.484329,0.632982,0.533096,0.176058,0.724636,
310,0.342078,0.458979,0.465556,0.455372,0.492463,0.558904,0.551624,0.491098,0.612019,0.760742,0.705353,0.534826,0.148091,0.228262,0.716922,0.167502,0.0709377,0.0977918,0.597056,0.475525,0.637516,0.53469,0.177622,0.726727,
311,0.345752,0.459578,0.466788,0.456741,0.49131,0.564445,0.552948,0.490106,0.614489,0.762041,0.705982,0.535048,0.152849,0.227701,0.726849,0.16772,0.0687467,0.0970555,0.592482,0.477361,0.62325,0.533627,0.176971,0.728193,
312,0.344026,0.460038,0.474072,0.457119,0.492752,0.564168,0.550536,0.490686,0.620371,0.762784,0.708835,0.535351,0.157766,0.227923,0.733398,0.16727,0.0687307,0.0973344,0.588388,0.479163,0.608291,0.533846,0.181966,0.729071,
313,0.343361,0.459342,0.473931,0.45237,0.498311,0.558779,0.54724,0.490626,0.622187,0.763375,0.708673,0.538674,0.158025,0.226847,0.736226,0.168332,0.0675552,0.0883304,0.585773,0.478967,0.606028,0.538637,0.17705,0.728375,
314,0.345341,0.457301,0.478005,0.451794,0.490147,0.562723,0.547159,0.493635,0.622272,0.760809,0.713116,0.535726,0.155783,0.22682,0.735844,0.168176,0.0682356,0.096321,0.58787,0.47656,0.603492,0.540757,0.17907,0.731768,
315,0.345581,0.456516,0.474465,0.449315,0.492572,0.562726,0.548406,0.491858,0.623338,0.757264,0.719461,0.533858,0.151771,0.223488,0.7328,0.168475,0.0682906,0.0917812,0.590514,0.473206,0.603953,0.537603,0.189333,0.736433,
316,0.344545,0.458536,0.476582,0.449614,0.492936,0.563277,0.546696,0.496544,0.619351,0.756327,0.719285,0.533495,0.153012,0.221412,0.736953,0.167902,0.0576752,0.0978775,0.592704,0.476586,0.603422,0.540116,0.189878,0.735345,
