Index of Gen, I#1: Average AdditionProb of Gen, Average SubstractionProb of Gen, Average SubstitutionProb of Gen, I#2: Average AdditionProb of Gen, Average SubstractionProb of Gen, Average SubstitutionProb of Gen, I#3: Average AdditionProb of Gen, Average SubstractionProb of Gen, Average SubstitutionProb of Gen, I#4: Average AdditionProb of Gen, Average SubstractionProb of Gen, Average SubstitutionProb of Gen, I#5: Average AdditionProb of Gen, Average SubstractionProb of Gen, Average SubstitutionProb of Gen, I#6: Average AdditionProb of Gen, Average SubstractionProb of Gen, Average SubstitutionProb of Gen, I#7: Average AdditionProb of Gen, Average SubstractionProb of Gen, Average SubstitutionProb of Gen, I#8: Average AdditionProb of Gen, Average SubstractionProb of Gen, Average SubstitutionProb of Gen, 
22,0.318943,0.530576,0.417957,0.434298,0.711647,0.539088,0.889596,0.534018,0.329086,0.862322,0.798574,0.608223,0.0938616,0.28013,0.805024,0.159112,0.0245398,0.133889,0.526508,0.608239,0.571797,0.499899,0.207961,0.753257,
23,0.319308,0.533819,0.419762,0.431228,0.702417,0.54034,0.889996,0.527782,0.321845,0.858153,0.798527,0.610391,0.0947112,0.28548,0.798697,0.160083,0.00244078,0.131523,0.528713,0.608711,0.573073,0.50199,0.209359,0.754619,
24,0.319703,0.536098,0.416492,0.429186,0.697218,0.54328,0.88888,0.52736,0.323576,0.852518,0.798434,0.614589,0.0954154,0.285057,0.797768,0.159069,0.00154877,0.136236,0.533193,0.607568,0.573674,0.502656,0.210221,0.756552,
25,0.319058,0.540559,0.419788,0.429876,0.694507,0.544559,0.89022,0.523517,0.321264,0.847881,0.797937,0.615676,0.0958864,0.284399,0.797556,0.159437,0.00141938,0.129458,0.534233,0.606014,0.572805,0.498797,0.211019,0.756674,
26,0.316843,0.536475,0.420169,0.421879,0.700238,0.545028,0.886117,0.523567,0.323168,0.845609,0.796983,0.614055,0.0950226,0.285385,0.798121,0.159908,0.00233346,0.128718,0.534389,0.606075,0.570826,0.494348,0.208774,0.757706,
27,0.316387,0.535023,0.420218,0.42356,0.707214,0.544896,0.886657,0.528166,0.327636,0.843834,0.793581,0.615083,0.0916151,0.286826,0.800745,0.159777,0.000800476,0.130019,0.541315,0.605619,0.571272,0.491306,0.21044,0.756409,
28,0.317072,0.53447,0.419343,0.423616,0.708211,0.545617,0.890164,0.522387,0.322084,0.846652,0.796899,0.61881,0.0933867,0.289171,0.796533,0.15912,0.00117913,0.129367,0.541138,0.60603,0.570957,0.490683,0.211361,0.756329,
29,0.322643,0.534378,0.419989,0.424714,0.71174,0.545401,0.8904,0.521073,0.319353,0.851465,0.798189,0.618773,0.0932449,0.288681,0.792168,0.159768,0.00193028,0.119022,0.539429,0.605495,0.570653,0.486254,0.212151,0.758719,
30,0.334289,0.534927,0.419423,0.424906,0.722654,0.546313,0.893347,0.525313,0.324539,0.853124,0.797288,0.617617,0.0948957,0.284296,0.793621,0.159788,0.00307301,0.118566,0.540341,0.60527,0.575004,0.47806,0.221774,0.76038,
31,0.328674,0.532149,0.422288,0.425822,0.721789,0.546947,0.901014,0.526327,0.316442,0.854497,0.795432,0.619812,0.0951771,0.284685,0.794234,0.157063,0.00300135,0.11848,0.54407,0.60655,0.586434,0.470036,0.227421,0.759743,
32,0.325987,0.527224,0.422681,0.425421,0.717479,0.544279,0.89684,0.532843,0.318795,0.854288,0.796155,0.620086,0.0917075,0.285331,0.796107,0.159384,0.0110131,0.118233,0.544327,0.606533,0.585083,0.466316,0.228791,0.760193,
33,0.323369,0.52635,0.421239,0.423273,0.720627,0.545198,0.897042,0.52775,0.323071,0.863594,0.793812,0.610437,0.09469,0.285122,0.79447,0.159475,0.00997519,0.117193,0.554117,0.608983,0.588749,0.466921,0.229505,0.760436,
34,0.322492,0.526889,0.421079,0.424034,0.723901,0.546081,0.898679,0.523227,0.323999,0.851758,0.791402,0.61852,0.100436,0.284574,0.78894,0.167677,0.0127008,0.116854,0.555013,0.60849,0.587904,0.465356,0.22897,0.760295,
35,0.324809,0.527624,0.42067,0.425298,0.723398,0.546812,0.905299,0.51579,0.317768,0.864141,0.790125,0.60476,0.0915805,0.284245,0.794727,0.16009,0.00361291,0.116627,0.557432,0.607763,0.585838,0.464864,0.229121,0.760151,
36,0.322572,0.527212,0.42014,0.426828,0.721416,0.547552,0.900715,0.514197,0.309446,0.883908,0.798295,0.579644,0.0907244,0.284834,0.795768,0.161603,0.00308248,0.110136,0.553311,0.607456,0.590322,0.463919,0.229144,0.759716,
37,0.324896,0.526542,0.420095,0.429085,0.720075,0.547477,0.896458,0.515532,0.303767,0.874142,0.796368,0.590236,0.0893733,0.284036,0.797468,0.16209,0.00277944,0.105842,0.545659,0.604988,0.600973,0.465921,0.231065,0.760167,
38,0.31993,0.525012,0.418421,0.431447,0.721723,0.549634,0.889237,0.516878,0.299862,0.869104,0.794245,0.600117,0.0841855,0.292567,0.797842,0.165667,0.00210949,0.106783,0.545488,0.602902,0.601132,0.466984,0.231925,0.760897,
39,0.32125,0.526305,0.419667,0.439401,0.715972,0.542828,0.889754,0.518051,0.295383,0.861859,0.793529,0.610101,0.07908,0.302947,0.798433,0.16015,0.00358205,0.106164,0.543344,0.600955,0.600713,0.47538,0.233056,0.754253,
40,0.319025,0.524676,0.419442,0.447709,0.711619,0.543669,0.890081,0.518904,0.29235,0.850162,0.791426,0.622689,0.0770891,0.303247,0.797477,0.159559,0.00322516,0.106196,0.545343,0.601826,0.601965,0.478303,0.238842,0.756599,
41,0.320405,0.52695,0.41761,0.451684,0.707735,0.545246,0.889513,0.515476,0.294089,0.846864,0.79386,0.626592,0.0842804,0.302044,0.797169,0.148051,0.00290144,0.106038,0.545664,0.602617,0.603501,0.477409,0.23837,0.757202,
42,0.319025,0.527516,0.416649,0.451859,0.707383,0.544362,0.887578,0.517568,0.288195,0.848656,0.795226,0.626059,0.0898951,0.303158,0.799553,0.159821,0.00330731,0.113111,0.541418,0.601537,0.602966,0.482684,0.23817,0.760146,
43,0.321581,0.525912,0.415238,0.453738,0.70779,0.54274,0.887462,0.517989,0.288879,0.849034,0.795486,0.625022,0.0892119,0.302975,0.801183,0.160661,0.00239845,0.113543,0.539531,0.600426,0.605348,0.484199,0.233776,0.764492,
44,0.327421,0.523131,0.415608,0.45249,0.70932,0.545507,0.889221,0.516045,0.291492,0.849081,0.800183,0.6258,0.089245,0.302824,0.798841,0.154365,0.00388579,0.111044,0.541477,0.603187,0.603315,0.47461,0.238363,0.767017,
45,0.336972,0.520333,0.418257,0.450863,0.709328,0.544306,0.881709,0.516502,0.291877,0.848663,0.795538,0.626838,0.0918881,0.303261,0.8,0.151204,0.00329125,0.110305,0.546631,0.606363,0.602457,0.472718,0.238345,0.768285,
46,0.343686,0.521582,0.416426,0.448542,0.707852,0.542104,0.877133,0.516867,0.29537,0.85001,0.792218,0.626539,0.0902349,0.303991,0.795617,0.151126,0.00335509,0.110277,0.545731,0.607331,0.602365,0.474559,0.238251,0.76793,
47,0.348172,0.524319,0.416284,0.450979,0.706974,0.539349,0.88115,0.518101,0.289491,0.847782,0.793044,0.623685,0.0907301,0.303823,0.795639,0.151116,0.0045896,0.110439,0.54821,0.605048,0.601964,0.482526,0.238615,0.763244,
48,0.340437,0.519227,0.417485,0.453378,0.705843,0.540301,0.877066,0.52277,0.294931,0.848473,0.785349,0.619835,0.0898765,0.303634,0.797919,0.151524,0.0042194,0.105788,0.549405,0.606469,0.598761,0.474989,0.243417,0.764303,
49,0.335732,0.517465,0.420862,0.449869,0.704348,0.542318,0.878462,0.524719,0.29426,0.851126,0.796982,0.619468,0.0900219,0.303859,0.797739,0.150989,0.00359757,0.10244,0.54843,0.607199,0.596983,0.474113,0.242357,0.762847,
50,0.339236,0.518341,0.417767,0.443748,0.70422,0.543594,0.878252,0.522146,0.290724,0.854007,0.797337,0.622616,0.0909065,0.304496,0.798883,0.151968,0.00903443,0.101423,0.554975,0.612621,0.600724,0.472973,0.248307,0.759866,
51,0.345998,0.526101,0.428282,0.438508,0.704989,0.540902,0.88071,0.53556,0.298973,0.854858,0.798459,0.612539,0.0913605,0.304431,0.799869,0.162463,0.00317191,0.102003,0.552368,0.607781,0.600318,0.469834,0.250982,0.756499,
52,0.337318,0.524441,0.433083,0.437978,0.70556,0.53852,0.881639,0.53983,0.297447,0.85305,0.797658,0.618668,0.0906508,0.304339,0.800746,0.16257,0.00329721,0.101432,0.559229,0.609675,0.607225,0.467424,0.251491,0.75722,
53,0.333671,0.522958,0.43418,0.437125,0.705664,0.537254,0.881028,0.536914,0.29548,0.85026,0.799772,0.613368,0.0895971,0.301872,0.800868,0.165297,0.00321192,0.101257,0.56589,0.605259,0.608517,0.466923,0.250641,0.757787,
54,0.334297,0.525761,0.427121,0.444027,0.699432,0.535597,0.883682,0.537526,0.298581,0.849642,0.798707,0.614266,0.0910616,0.302761,0.807731,0.162045,0.00319426,0.101892,0.56433,0.605943,0.60916,0.470023,0.247778,0.743221,
55,0.336912,0.5275,0.424609,0.44426,0.70049,0.535135,0.878394,0.534178,0.294299,0.852984,0.798117,0.606647,0.0916301,0.305505,0.813756,0.166454,0.00365332,0.101262,0.563335,0.605748,0.608689,0.47206,0.252991,0.740295,
56,0.338488,0.524022,0.427416,0.445964,0.698648,0.534602,0.875691,0.524453,0.289098,0.84948,0.800902,0.608719,0.0929591,0.303684,0.813592,0.166687,0.00397582,0.101145,0.561835,0.607743,0.609183,0.472842,0.253262,0.740443,
57,0.338873,0.52883,0.416752,0.449311,0.694169,0.536208,0.876198,0.5242,0.289281,0.851661,0.800011,0.611266,0.0922392,0.30458,0.810721,0.167158,0.00326112,0.101058,0.558102,0.613236,0.609232,0.47332,0.253351,0.741154,
58,0.33768,0.526226,0.416526,0.449251,0.694232,0.538805,0.876659,0.520934,0.289116,0.841007,0.803398,0.60125,0.092809,0.303645,0.815432,0.167269,0.00387356,0.10144,0.562442,0.610859,0.61129,0.473142,0.252507,0.738548,
59,0.337648,0.527169,0.414963,0.449582,0.69079,0.536247,0.875741,0.520461,0.289211,0.835239,0.804715,0.59404,0.0846388,0.304461,0.815845,0.166476,0.00449385,0.101121,0.5707,0.595346,0.615528,0.472492,0.252386,0.740195,
60,0.333728,0.528176,0.412823,0.44976,0.692173,0.535059,0.875721,0.521483,0.28897,0.83309,0.804705,0.591592,0.0846645,0.304437,0.813679,0.166878,0.00520823,0.101524,0.563645,0.594414,0.610246,0.471985,0.252044,0.740647,
61,0.331952,0.526621,0.409865,0.449995,0.696708,0.538766,0.875705,0.5207,0.287006,0.831428,0.80903,0.589685,0.0858394,0.304418,0.812522,0.165644,0.00962824,0.101967,0.554084,0.589363,0.613697,0.473571,0.251825,0.741437,
62,0.333579,0.524291,0.410468,0.443661,0.693527,0.539592,0.88119,0.523061,0.288933,0.832091,0.811022,0.590692,0.0846204,0.306488,0.809768,0.165259,0.00978262,0.102128,0.548035,0.587852,0.609238,0.472563,0.252278,0.740705,
63,0.32809,0.525683,0.416311,0.446596,0.696533,0.54097,0.878941,0.522439,0.280996,0.830006,0.812852,0.591266,0.0851154,0.306168,0.811171,0.163812,0.0112286,0.101938,0.54624,0.584957,0.609222,0.473429,0.246805,0.740829,
64,0.322915,0.524351,0.417354,0.451258,0.69664,0.540622,0.885761,0.523557,0.292026,0.829176,0.815674,0.587823,0.0851608,0.305251,0.805777,0.163867,0.0111908,0.102055,0.557187,0.583989,0.612042,0.47223,0.252705,0.743805,
65,0.32597,0.524925,0.424365,0.452701,0.69678,0.54339,0.87574,0.520964,0.294529,0.827297,0.815405,0.58935,0.0854376,0.305201,0.803958,0.164213,0.0110611,0.108358,0.554276,0.585382,0.612046,0.481819,0.252284,0.739574,
66,0.328214,0.521866,0.423136,0.464715,0.69536,0.540966,0.877531,0.524933,0.294044,0.824935,0.814588,0.588288,0.0857642,0.305477,0.803478,0.164804,0.011039,0.101358,0.54887,0.587769,0.610026,0.476358,0.252661,0.738495,
